Name;Position;PTS;TRB;AST;BLK;STL
Moses Brown;C;2;2;0;0;0
Jalen McDaniels;SF;8;3;1;0;0
Immanuel Quickley;PG;14;4;3;0;1
Juan Toscano-Anderson;SF;2;2;0;0;0
Derrick Jones Jr.;SF;5;2;0;0;0
Matisse Thybulle;SG;4;2;0;0;0
Keldon Johnson;SF;22;5;2;0;0
Sam Merrill;SG;5;1;1;0;0
Khem Birch;C;2;1;0;0;0
Deni Avdija;SF;9;6;2;0;0
Anthony Davis;C;25;12;2;2;1
Kyle Lowry;PG;11;4;5;0;1
Mike Conley;PG;11;2;6;0;1
Furkan Korkmaz;SG;3;1;0;0;0
Thaddeus Young;PF;4;3;1;0;1
Jaden McDaniels;SF;12;3;1;1;0
Klay Thompson;SG;21;4;2;0;0
Nikola Jovi?;PF;5;2;0;0;0
Kevon Harris;SG;4;2;0;0;0
KZ Okpala;PF;1;1;0;0;0
Isaiah Jackson;C;7;4;0;1;0
Gary Harris;SG;8;2;1;0;0
Jabari Smith Jr.;PF;12;7;1;0;0
Nic Claxton;C;12;9;1;2;0
Jeremiah Robinson-Earl;PF;6;4;1;0;0
Dejounte Murray;SG;20;5;6;0;1
Johnny Davis;SG;5;2;1;0;0
Michael Carter-Williams;PG;4;1;1;0;0
Bruno Fernando;C;3;2;0;0;0
Naji Marshall;SF;9;3;2;0;0
Onyeka Okongwu;C;9;7;1;1;0
Gordon Hayward;SF;14;4;4;0;0
Brandon Ingram;SF;24;5;5;0;0
Isaiah Joe;SG;9;2;1;0;0
Lamar Stevens;PF;5;3;0;0;0
Malik Beasley;SG;12;3;1;0;0
Meyers Leonard;C;4;3;0;0;0
Ryan Arcidiacono;PG;1;0;1;0;0
Mo Bamba;C;5;4;0;0;0
Shaquille Harrison;SG;8;4;6;0;2
Cedi Osman;SF;8;2;1;0;0
Domantas Sabonis;C;19;12;7;0;0
John Butler;C;2;0;0;0;0
Dwight Powell;C;6;4;0;0;0
Ousmane Dieng;SF;4;2;1;0;0
AJ Griffin;SF;8;2;1;0;0
Russell Westbrook;PG;15;5;7;0;1
Kelly Oubre Jr.;SF;20;5;1;0;1
Leandro Bolmaro;SG;0;0;0;0;0
Tre Jones;PG;12;3;6;0;1
Michael Foster Jr.;PF;0;0;0;0;0
Pascal Siakam;C;24;7;5;0;0
A.J. Lawson;SG;2;1;0;0;0
Zeke Nnaji;PF;5;2;0;0;0
Rudy Gay;PF;5;2;1;0;0
Andre Iguodala;SF;2;2;2;0;0
Zach Collins;C;11;6;2;0;0
Braxton Key;SF;1;0;0;0;0
Kawhi Leonard;SF;23;6;3;0;1
Chima Moneke;SF;1;1;0;0;0
Obi Toppin;PF;7;2;1;0;0
Clint Capela;C;12;11;0;1;0
